Nummer,Datum,verwendbar?,URL,login url,HTML Element mit webauthn,Passkey/FedCm unterstützung,funktionale Eigenschaften,statische Eigenschaften,Bemerkung,thirdparty auth with passkeys
11,8. Juli 2025,ja,https://bestbuy.com/,https://www.bestbuy.com/identity/signin?token=tid%3A3661ec8c-5c0e-11f0-aa81-0e981d7c7b8f,"<button class=""c-button c-button-outline c-button-lg c-button-block c-button-icon c-button-icon-leading svg-button webauthn-button"" type=""button"" data-track=""Sign In - WebAuthn Button"" style=""height: 40px;""><svg xmlns=""http://www.w3.org/2000/svg"" xml:space=""preserve"" viewBox=""0 0 24 24"" aria-hidden=""true"" role=""img"" class=""passkey-icon""><path d=""M13.75 22.46h-8.5c-1.52 0-2.75-1.23-2.75-2.75v-.21c0-3.86 3.14-7 7-7 1.39 0 2.73.41 3.88 1.17.34.23.44.7.21 1.04s-.7.44-1.04.21c-.9-.6-1.96-.92-3.05-.92A5.51 5.51 0 0 0 4 19.5v.21c0 .69.56 1.25 1.25 1.25h8.5c.33 0 .65-.13.88-.37.29-.29.77-.29 1.06 0s.29.77 0 1.06c-.51.52-1.2.81-1.94.81M9.5 11C7.02 11 5 8.98 5 6.5S7.02 2 9.5 2 14 4.02 14 6.5 11.98 11 9.5 11m0-7.5c-1.65 0-3 1.35-3 3s1.35 3 3 3 3-1.35 3-3-1.35-3-3-3M18 12c-.55 0-1-.45-1-1s.45-1 1-1 1 .45 1 1-.45 1-1 1""></path><path d=""m20.94 14.6-.47-.47C23.43 11.86 21.75 6.96 18 7c-3.98-.03-5.49 5.34-2.11 7.4v4.66c0 .2.08.39.22.53l1.32 1.32c.29.29.77.29 1.06 0l2.42-2.42c.31-.29.29-.83-.04-1.1l-.81-.71c.43-.61 1.58-1.33.88-2.08m-2.43 2.72.77.67-1.32 1.32-.57-.57v-4.79c-.03-.24-.13-.5-.36-.62-.9-.44-1.55-1.3-1.54-2.33a2.5 2.5 0 0 1 2.5-2.5c2.67 0 3.45 3.69 1.02 4.79-.51.16-.66.86-.28 1.23l.64.64-.95 1.09a.78.78 0 0 0 .09 1.07""></path></svg>Sign in with a Passkey</button>",Passkey,"autocomplete = webauthn, get methode, methode vor login, passkey button","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, obfuscated js",/gsi/client.js  gebunden an token. auth url muss aufgerufen werden,google
12,9. Juli 2025,ja,https://bitwarden.com/,https://vault.bitwarden.com/#/login,"<button type=""button"" bitbutton="""" block="""" buttontype=""secondary"" class=""!tw-text-primary-600 focus-visible:tw-ring-2 focus-visible:tw-ring-offset-2 focus-visible:tw-ring-primary-600 focus-visible:tw-z-10 focus:tw-outline-none hover:!tw-text-contrast hover:tw-bg-primary-600 hover:tw-border-primary-600 hover:tw-no-underline tw-bg-transparent tw-block tw-border-2 tw-border-primary-600 tw-border-solid tw-font-semibold tw-no-underline tw-px-3 tw-py-1.5 tw-rounded-full tw-text-center tw-transition tw-w-full""><span class=""tw-relative""><span><i class=""bwi bwi-passkey tw-mr-1""></i> Log in with passkey </span><span class=""tw-absolute tw-inset-0 tw-flex tw-items-center tw-justify-center tw-invisible""><i aria-hidden=""true"" class=""bwi bwi-spinner bwi-lg bwi-spin""></i></span></span></button>",Passkey,"get call after side loading, get methode, methode vor login, passkey button","navigator.credentials.create vorhanden, navigator.credentials.get vorhanden","create methode gefunden, get wird erst nach klick des buttons geladen? nicht auffindbar?","X, github, google"
13,9. Juli 2025,ja,https://community.bitwarden.com/,https://community.bitwarden.com/login,"<span class=""d-button-label"">Log in with a passkey<!----></span> <input id=""login-account-name"" class=""ember-text-field ember-view"" autocomplete=""username webauthn"" autocorrect=""off"" autocapitalize=""none"" autofocus=""autofocus"" tabindex=""1"" type=""email"">",Passkey,"autocomplete = webauthn, get methode, methode vor login, passkey button","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, navigator.credentials.get({publicKey:) vorhanden",,google
14,9. Juli 2025,ja,https://www.capecodfive.com/,https://online.capecodfive.com/login,"<input aria-labelledby=""username-label"" title=""username"" id=""username"" type=""text"" spellcheck=""false"" autocorrect=""off"" autocapitalize=""none"" autofocus="""" autocomplete=""username webauthn"" error-message=""Wrong username!"" value="""" aria-label=""Username"">",Passkey,"autocomplete = webauthn, get methode, methode vor login","Conditional UI, navigator.credentials.get vorhanden, obfuscated js",,
15,10. Juli 2025,ja,https://cardpointers.com,https://cardpointers.com/login/,"<input id=""email"" name=""email"" type=""email"" autocomplete=""email username webauthn"" required=""required"" class=""block w-full px-3 py-2 placeholder-gray-400 border border-gray-300 rounded-md shadow-sm appearance-none focus:outline-none focus:ring-cpink focus:border-cpink sm:text-sm"" data-v-ba6cef9a="""">",Passkey,"autocomplete = webauthn, get call after side loading, get methode, methode vor login","Conditional UI, navigator.credentials.create({publicKey:, navigator.credentials.get({publicKey:) vorhanden, one line js",,
16,10. Juli 2025,ja,https://ai.cloze.com/,https://www.cloze.com/in/,,Passkey,"autocomplete = webauthn, get call after side loading, get methode, methode vor login",Conditional UI,,google
17,10. Juli 2025,ja,https://www.coinbase.com/de,https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=e177715a-2a59-4120-8285-501c7c177a67,"<span class=""cds-startIcon-s53zxgv""><svg width=""16"" height=""17"" viewBox=""0 0 16 17"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M5.37256 0.93801C4.02536 1.22585 2.8994 2.35696 2.55569 3.75968C2.43717 4.24618 2.43717 5.05701 2.55569 5.5435C2.90335 6.9665 4.02141 8.07328 5.40417 8.36518C5.62936 8.41383 5.8506 8.42599 6.30098 8.41383C6.80668 8.39356 6.941 8.37734 7.22941 8.28004C8.02746 8.01652 8.62007 7.59489 9.08625 6.95434C9.38256 6.55298 9.56429 6.18405 9.70652 5.71783C9.80529 5.38944 9.81319 5.30836 9.81319 4.65159C9.81319 3.99482 9.80529 3.91374 9.70652 3.58536C9.3312 2.33668 8.45809 1.43261 7.22941 1.02315C6.92915 0.921793 6.82643 0.909631 6.26148 0.897468C5.83875 0.88936 5.54639 0.901522 5.37256 0.93801Z"" fill=""white""></path><path d=""M12.5633 5.55967C11.9983 5.68129 11.5045 5.96508 11.0817 6.41509C10.2995 7.23808 10.0625 8.4908 10.4891 9.56515C10.7064 10.1165 11.1963 10.6922 11.6862 10.976L11.9272 11.1179L11.9312 13.3882V15.6585L12.5356 16.2747L13.1401 16.895L14.1633 15.8409L15.1905 14.7869L14.5781 14.1585L13.9658 13.5301L14.5702 12.9098C14.8982 12.5693 15.1708 12.2733 15.1708 12.253C15.1708 12.2328 14.9535 11.9895 14.6888 11.7179C14.4241 11.4463 14.2147 11.2152 14.2226 11.2071C14.2344 11.199 14.3846 11.1138 14.5584 11.0125C15.2142 10.6395 15.7397 9.94218 15.9214 9.20839C16.0162 8.8273 16.0281 8.11782 15.9411 7.75295C15.7081 6.73131 14.9021 5.884 13.8986 5.60021C13.5944 5.51507 12.8754 5.4948 12.5633 5.55967ZM13.6023 6.90564C13.7959 7.04348 13.9855 7.38808 13.9855 7.607C13.9855 7.81377 13.8196 8.15026 13.6576 8.27594C13.4759 8.41783 13.148 8.48675 12.9386 8.42999C12.5988 8.33269 12.3302 7.97593 12.3262 7.61917C12.3223 6.94618 13.069 6.52861 13.6023 6.90564Z"" fill=""white""></path><path d=""M4.16802 9.78411C2.34279 10.0719 0.809901 11.4098 0.233093 13.218C0.0355566 13.8423 0 14.1585 0 15.3585V16.4491H5.33349H10.667V14.1382V11.8274L10.3509 11.5193C9.99536 11.1706 9.71486 10.7976 9.51337 10.4084L9.37904 10.1449L8.94446 9.99492C8.23728 9.75167 7.90147 9.71924 6.09993 9.72329C4.97397 9.72735 4.42087 9.74356 4.16802 9.78411Z"" fill=""white""></path></svg></span><span class=""cds-positionRelative-pa1s919""><span class=""cds-typographyResets-t6muwls cds-headline-h4steop cds-secondaryForeground-sy4giet cds-transition-t1qvlahm cds-start-s1u0g7ow""><span class="""">Mit Passkey anmelden</span></span></span><span class=""cds-endIcon-e1966ejt""><div></div></span>","FedCM, Passkey","autocomplete = webauthn, get methode, methode vor login, passkey button","Conditional UI, navigator.credentials.get({publicKey:) vorhanden, obfuscated js",,"apple, google"
18,10. Juli 2025,ja,https://www.computerbase.de/,https://www.computerbase.de/forum/login/,"<form action=""/forum/login/login"" method=""post"" class="""" data-xf-init=""webauthn"" data-type=""get"" data-autotrigger=""false"" data-autosubmit=""true"" data-verifying=""Überprüfe…"">
<input type=""hidden"" name=""_xfToken"" value=""1752140028,6fee967d4aa6242076dffc8c33d8b691"">


<button type=""button"" class=""button button--icon button--provider button--provider--passkey js-webauthnStart""><span class=""button-text"">
Passkey
</span></button>

<input type=""hidden"" name=""webauthn_payload"" value="""">
<input type=""hidden"" name=""webauthn_challenge"" value=""PXFNOvEIHqkRDriQBEsERMsWr0qWnhtiPZLJ6C8lhIbc6gZM4MsxQuYO7nHys6JrgADduLYwzXHJnM52aMfYrsmItp9qV4weN7IzNMc2VR_7s4iLCGphL3HEno3yXx9h"">


</form>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, obfuscated js",,google
19,10. Juli 2025,ja,https://www.corbado.com/,https://app.corbado.com/?pk_vid=0be544d8f995f05f175214030824d1ff#login-init,"<input autocomplete=""username webauthn"" aria-label=""Email address"" id=""email"" class=""cb-text-2 cb-input cb-input-error"" type=""email"" name=""email"" data-gtm-form-interact-field-id=""0"">",Passkey,"autocomplete = webauthn, get call after side loading, get methode, methode vor login","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, obfuscated js, one line js",,"github, google, microsoft"
20,10. Juli 2025,ja,https://www.cutx.org/,https://online.cutx.org/login,"<input aria-labelledby=""username-label"" title=""username"" id=""username"" type=""text"" spellcheck=""false"" autocorrect=""off"" autocapitalize=""none"" autofocus="""" autocomplete=""username webauthn"" error-message=""Wrong username!"" value="""" aria-label=""Username"">",Passkey,"autocomplete = webauthn, get call after side loading, get methode, methode vor login","Conditional UI, navigator.credentials.get vorhanden, obfuscated js",,
21,10. Juli 2025,ja,https://crowdin.com/,https://accounts.crowdin.com/login,"<a id=""passkey-login"" class=""btn btn-sso btn-outline-secondary btn-sm unselectable d-flex"" href=""javascript:void(0);"">
<span class=""material-symbols-outlined mr-2"">passkey</span>
<span class=""small text-center"">Use Passkey</span>
</a>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.create({publicKey:, navigator.credentials.get({publicKey:) vorhanden, one line js",,"X, github, gitlab, google, microsoft"
22,10. Juli 2025,ja,https://mycurricula.com/login,https://mycurricula.com/login,"<button type=""button"" wire:loading.attr=""disabled"" x-data=""{
form: null,
isUploadingFile: false,
isHovered: false,
}"" x-bind:disabled=""isUploadingFile"" @click=""isHovered = !isHovered"" @mouseleave=""isHovered = false"" x-init=""
form = $el.closest('form')

form?.addEventListener('file-upload-started', () => {
isUploadingFile = true
})

form?.addEventListener('file-upload-finished', () => {
isUploadingFile = false
})

"" x-bind:class=""{ 'enabled:opacity-70 enabled:cursor-wait': isUploadingFile }"" class=""flex w-full items-center gap-1 font-medium rounded border transition-colors outline-none justify-center min-h-[2.5rem] px-6 text-sm"" onclick=""passkeys.login()"" id=""passkey-button"">
<!--[if BLOCK]><![endif]-->            <!--[if BLOCK]><![endif]--><!--[if ENDBLOCK]><![endif]-->
<!--[if BLOCK]><![endif]--><!--[if ENDBLOCK]><![endif]-->
<!--[if ENDBLOCK]><![endif]-->

<span class=""flex items-center gap-1"">
<!--[if BLOCK]><![endif]-->                <span class=""whitespace-nowrap"">
<div class=""flex gap-1"" id=""sign-in-with-passkey"">
<svg class=""svg-inline--fa fa-key h-5 w-5"" aria-hidden=""true"" focusable=""false"" data-prefix=""far"" data-icon=""key"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 512 512"" data-fa-i2svg=""""><path fill=""currentColor"" d=""M208 176c0-70.7 57.3-128 128-128s128 57.3 128 128s-57.3 128-128 128c-10.4 0-20.5-1.2-30.1-3.6c-8.1-2-16.7 .4-22.6 6.4L254.1 336 200 336c-13.3 0-24 10.7-24 24l0 40-40 0c-13.3 0-24 10.7-24 24l0 40-64 0 0-78.1L205.2 228.7c5.9-5.9 8.3-14.5 6.4-22.6c-2.3-9.6-3.6-19.7-3.6-30.1zM336 0C238.8 0 160 78.8 160 176c0 9.5 .7 18.8 2.2 27.9L7 359c-4.5 4.5-7 10.6-7 17L0 488c0 13.3 10.7 24 24 24l112 0c13.3 0 24-10.7 24-24l0-40 40 0c13.3 0 24-10.7 24-24l0-40 40 0c6.4 0 12.5-2.5 17-7l27.2-27.2c9.1 1.4 18.4 2.2 27.9 2.2c97.2 0 176-78.8 176-176S433.2 0 336 0zm32 176a32 32 0 1 0 0-64 32 32 0 1 0 0 64z""></path></svg><!-- <i class=""fa-regular fa-key w-5 h-5""></i> -->





<span>Sign In with a Passkey</span>
</div>
</span>
<!--[if ENDBLOCK]><![endif]-->
</span>

<!--[if BLOCK]><![endif]--><!--[if ENDBLOCK]><![endif]-->
</button>",Passkey,"get call after side loading, get methode, methode vor login","navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, one line js",,"google, microsoft"
